season,points_percentage,coaches,playoff_result,code,ties,team_name,wins,games_played,loses,overtime_loses,points,leage,finishing_position
1943-44,.430,"[{'link': '/coaches/rossar01c.html', 'name': 'A. Ross'}]",,BOS,5,Boston Bruins,19,50,26,0,43,NHL,5th
1942-43,.570,"[{'link': '/coaches/rossar01c.html', 'name': 'A. Ross'}]",Lost Stanley Cup Final,BOS,9,Boston Bruins,24,50,17,0,57,NHL,2nd
1941-42,.583,"[{'link': '/coaches/rossar01c.html', 'name': 'A. Ross'}]",Lost NHL Semi-Finals,BOS,6,Boston Bruins,25,48,17,0,56,NHL,3rd
1940-41,.698,"[{'link': '/coaches/weilaco01c.html', 'name': 'C. Weiland'}]",,BOS,13,Boston Bruins,27,48,8,0,67,NHL,1st
1939-40,.698,"[{'link': '/coaches/weilaco01c.html', 'name': 'C. Weiland'}]",Lost NHL Semi-Finals,BOS,5,Boston Bruins,31,48,12,0,67,NHL,1st
1938-39,.771,"[{'link': '/coaches/rossar01c.html', 'name': 'A. Ross'}]",,BOS,2,Boston Bruins,36,48,10,0,74,NHL,1st
1937-38,.698,"[{'link': '/coaches/rossar01c.html', 'name': 'A. Ross'}]",Lost NHL Semi-Finals,BOS,7,Boston Bruins,30,48,11,0,67,NHL,1st
1936-37,.552,"[{'link': '/coaches/rossar01c.html', 'name': 'A. Ross'}]",Lost NHL Quarter-Finals,BOS,7,Boston Bruins,23,48,18,0,53,NHL,2nd
1935-36,.521,"[{'link': '/coaches/patrifr01c.html', 'name': 'F. Patrick'}]",Lost NHL Quarter-Finals,BOS,6,Boston Bruins,22,48,20,0,50,NHL,2nd
1934-35,.604,"[{'link': '/coaches/patrifr01c.html', 'name': 'F. Patrick'}]",Lost NHL Semi-Finals,BOS,6,Boston Bruins,26,48,16,0,58,NHL,1st
1933-34,.427,"[{'link': '/coaches/rossar01c.html', 'name': 'A. Ross'}]",,BOS,5,Boston Bruins,18,48,25,0,41,NHL,4th
1932-33,.604,"[{'link': '/coaches/rossar01c.html', 'name': 'A. Ross'}]",Lost NHL Semi-Finals,BOS,8,Boston Bruins,25,48,15,0,58,NHL,1st
1931-32,.438,"[{'link': '/coaches/rossar01c.html', 'name': 'A. Ross'}]",,BOS,12,Boston Bruins,15,48,21,0,42,NHL,4th
1930-31,.705,"[{'link': '/coaches/rossar01c.html', 'name': 'A. Ross'}]",Lost NHL Semi-Finals,BOS,6,Boston Bruins,28,44,10,0,62,NHL,1st
1929-30,.875,"[{'link': '/coaches/rossar01c.html', 'name': 'A. Ross'}]",Lost Stanley Cup Final,BOS,1,Boston Bruins,38,44,5,0,77,NHL,1st
1928-29,.648,"[{'link': '/coaches/rossar01c.html', 'name': 'A. Ross'}]",,BOS,5,Boston Bruins,26,44,13,0,57,NHL,1st
1927-28,.580,"[{'link': '/coaches/rossar01c.html', 'name': 'A. Ross'}]",Lost NHL Semi-Finals,BOS,11,Boston Bruins,20,44,13,0,51,NHL,1st
1926-27,.511,"[{'link': '/coaches/rossar01c.html', 'name': 'A. Ross'}]",Lost Stanley Cup Final,BOS,3,Boston Bruins,21,44,20,0,45,NHL,2nd
1925-26,.528,"[{'link': '/coaches/rossar01c.html', 'name': 'A. Ross'}]",,BOS,4,Boston Bruins,17,36,15,0,38,NHL,4th
1924-25,.200,"[{'link': '/coaches/rossar01c.html', 'name': 'A. Ross'}]",,BOS,0,Boston Bruins,6,30,24,0,12,NHL,6th
